"OPE ID",School,State,"Zip Code","School Type",Recipients,"num originated","amt originated","num disbursed","amt disbursed"
140900,"UNIVERSITY OF SAINT JOSEPH                                            ",CT,61172791,Private-Nonprofit,572,572,2649360,572,1304142
141400,"TRINITY COLLEGE                                                       ",CT,61063100,Private-Nonprofit,436,436,1896676,436,954520
141600,"UNIVERSITY OF BRIDGEPORT                                              ",CT,66015650,Private-Nonprofit,1268,1268,5461044,1288,2666600
141700,"UNIVERSITY OF CONNECTICUT                                             ",CT,62692151,Public,8129,8208,36030455,8233,18369211
142200,"UNIVERSITY OF HARTFORD                                                ",CT,61171599,Private-Nonprofit,2178,2178,9663591,2179,4903036
142400,"WESLEYAN UNIVERSITY                                                   ",CT,64593208,Private-Nonprofit,755,765,3285996,765,1670359
142500,"EASTERN CONNECTICUT STATE UNIVERSITY                                  ",CT,62262295,Public,1885,1886,8403551,1886,4256565
142600,"YALE UNIVERSITY                                                       ",CT,65208288,Private-Nonprofit,170,170,620852,171,312094
142800,"DELAWARE STATE UNIVERSITY                                             ",DE,199012277,Public,2225,2269,9081711,2270,4552911
142900,"GOLDEY-BEACOM COLLEGE                                                 ",DE,198081993,Private-Nonprofit,214,214,900555,214,451276
143100,"UNIVERSITY OF DELAWARE                                                ",DE,197160099,Public,5706,5720,24502540,5722,12449963
143300,"WESLEY COLLEGE                                                        ",DE,199013875,Private-Nonprofit,1172,1172,4921862,1172,2462301
143400,"AMERICAN UNIVERSITY                                                   ",DC,200168020,Private-Nonprofit,2873,2875,12521013,2876,6535939
143600,"CAPITOL TECHNOLOGY UNIVERSITY                                         ",MD,207089759,Private-Nonprofit,167,167,717859,167,367380
143700,"CATHOLIC UNIVERSITY OF AMERICA                                        ",DC,200640002,Private-Nonprofit,1155,1156,5169558,1156,2605000
144100,"UNIVERSITY OF THE DISTRICT OF COLUMBIA                                ",DC,200081175,Public,1002,1003,4351871,1005,2188502
144300,"GALLAUDET UNIVERSITY                                                  ",DC,200023695,Private-Nonprofit,147,147,662687,147,335524
144400,"GEORGE WASHINGTON UNIVERSITY                                          ",DC,200522353,Private-Nonprofit,2482,2504,11423602,2504,5724271
144500,"GEORGETOWN UNIVERSITY                                                 ",DC,200571252,Private-Nonprofit,1729,1736,6851227,1773,3448454
144800,"HOWARD UNIVERSITY                                                     ",DC,200590001,Private-Nonprofit,2007,2018,8715798,2037,4365959
145900,"STRAYER UNIVERSITY                                                    ",DC,200052603,Proprietary,6836,6836,25540176,6836,9082948
146000,"TRINITY COLLEGE                                                       ",DC,200171004,Private-Nonprofit,1033,1035,4130125,1035,2028583
146400,"WESLEY THEOLOGICAL SEMINARY                                           ",DC,200165690,Private-Nonprofit,0,0,0,0,0
146600,"BARRY UNIVERSITY                                                      ",FL,331616628,Private-Nonprofit,1497,1520,6385542,1520,3361406
146700,"BETHUNE COOKMAN UNIVERSITY                                            ",FL,321143099,Private-Nonprofit,2737,2774,10794619,2775,5409128
146800,"SAINT THOMAS UNIVERSITY                                               ",FL,330540000,Private-Nonprofit,274,280,966710,280,586467
146900,"FLORIDA INSTITUTE OF TECHNOLOGY                                       ",FL,329016988,Private-Nonprofit,2486,2577,8954718,3558,4262212
